id,record_id,fields,sync_time,created_time,updated_time
11,recvn6o3WgRNUY,"{'2601': '15198136.59', '2602': '13266073.73', '2603': '24675371.63', '2604': '19777253.86', '公式': '0.0000000125', '状态': '待确认', '编号': '11', '事业群': '电商事业群', '创建人': '谢南珩', '当前年': '2026', '当前月': '6', '父记录': [{'type': 'text', 'table_id': 'tblvCpQgeZoNVbui', 'text_arr': []}], '行业部': '直营行业部', '层级级别': '客户经理', '父级引用': '3', '经营主体': '星澜集团', '1季度比例': '25%', '2季度比例': '25%', '3季度比例': '25%', '4季度比例': '25%', '任务承接人': '霍南珩', '任务维护人': '谢南珩', '业务承接角色': '曜石直营', '年度开单金额': '40287725.872081', '总任务达成率': '0.63010544567', '本月开单金额': '3896993.656745', '链接字段(勿删)': '电商事业群;直营行业部;曜石直营', '剩余分配百分比': '0', '总任务（金额）': '63938069.65', '截止当前目标阈值': '34106301.369863', '本月当前目标阈值': '4044444.444444', '本月总目标（万）': '888.089667', '当前月份任务达成率': '0.731394052666', '本月开单金额（万）': '389.699366', '本月当前目标阈值 (万)': '404.444444', '截止当前目标阈值达成率': '1.181239954318', '截止当前目标阈值（万）': '3410.630137', '年度阈值/开单差额（万）': '618.14245', '月度阈值/开单差额（万）': '-14.745079', '总金额转换（以万为单位）': '10657.29', '总额的待分配任务（金额）': '59253520.69', '年度开单金额转换（以万为单位）': '4028.772587'}",2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776
14,recvn6o3Wg3Kmu,"{'2601': '221107.25', '2602': '228458.23', '2603': '142800.84', '2604': '181596.87', '公式': '0.000001', '状态': '待确认', '编号': '14', '事业群': '电商事业群', '创建人': '谢南珩', '当前年': '2026', '当前月': '6', '父记录': [{'type': 'text', 'table_id': 'tblvCpQgeZoNVbui', 'text_arr': []}], '行业部': '海外行业部', '层级级别': '客户经理', '父级引用': '3', '经营主体': '星澜集团', '1季度比例': '25%', '2季度比例': '25%', '3季度比例': '25%', '4季度比例': '25%', '任务承接人': '郑南珩', '任务维护人': '谢南珩', '业务承接角色': '南洋', '年度开单金额': '121710.193279', '总任务达成率': '0.188020796045', '本月开单金额': '0', '链接字段(勿删)': '电商事业群;海外行业部;南洋', '剩余分配百分比': '0', '总任务（金额）': '647323.04', '截止当前目标阈值': '426328.767123', '本月当前目标阈值': '50555.555556', '本月总目标（万）': '9.426475', '当前月份任务达成率': '0', '本月开单金额（万）': '0', '本月当前目标阈值 (万)': '5.055556', '截止当前目标阈值达成率': '0.28548435542', '截止当前目标阈值（万）': '42.632877', '年度阈值/开单差额（万）': '-30.461857', '月度阈值/开单差额（万）': '-5.055556', '总金额转换（以万为单位）': '113.05', '总额的待分配任务（金额）': '933641.8', '年度开单金额转换（以万为单位）': '12.171019'}",2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776
10,recvn6o3Wg8pam,"{'2601': '56400219.33', '2602': '64615652.01', '2603': '63084395.92', '2604': '51191264.67', '公式': '0.00000000469483568075117', '状态': '待确认', '编号': '10', '事业群': '电商事业群', '创建人': '谢南珩', '当前年': '2026', '当前月': '6', '父记录': [{'type': 'text', 'table_id': 'tblvCpQgeZoNVbui', 'text_arr': []}], '行业部': '直营行业部', '层级级别': '客户经理', '父级引用': '4', '经营主体': '星澜集团', '1季度比例': '25%', '2季度比例': '25%', '3季度比例': '25%', '4季度比例': '25%', '任务承接人': '林怀川', '任务维护人': '谢南珩', '业务承接角色': '澜庭直营', '年度开单金额': '104617602.998502', '总任务达成率': '0.540569555975', '本月开单金额': '23787610.411601', '链接字段(勿删)': '电商事业群;直营行业部;澜庭直营', '剩余分配百分比': '0', '总任务（金额）': '193532177.02', '截止当前目标阈值': '90808027.39726', '本月当前目标阈值': '10768333.333333', '本月总目标（万）': '2866.15', '当前月份任务达成率': '1.474955376075', '本月开单金额（万）': '2378.761041', '本月当前目标阈值 (万)': '1076.833333', '截止当前目标阈值达成率': '1.152074392507', '截止当前目标阈值（万）': '9080.80274', '年度阈值/开单差额（万）': '1380.95756', '月度阈值/开单差额（万）': '1301.927708', '总金额转换（以万为单位）': '34388.48', '总额的待分配任务（金额）': '221668485.22', '年度开单金额转换（以万为单位）': '10461.7603'}",2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776
6,recvn6o3Wgsw99,"{'2601': '26628612.01', '2602': '23859248.14', '2603': '25592210.28', '2604': '20692087.78', '公式': '0.0000000111111111111111', '状态': '待确认', '编号': '6', '事业群': '电商事业群', '创建人': '谢南珩', '当前年': '2026', '当前月': '6', '父记录': [{'type': 'text', 'table_id': 'tblvCpQgeZoNVbui', 'text_arr': []}], '行业部': '内贸行业部', '层级级别': '客户经理', '父级引用': '2', '经营主体': '星澜集团', '1季度比例': '25%', '2季度比例': '25%', '3季度比例': '25%', '4季度比例': '25%', '任务承接人': '秦怀川', '任务维护人': '谢南珩', '业务承接角色': '澔川业务', '年度开单金额': '25602752.066814', '总任务达成率': '0.358375666632', '本月开单金额': '1000170.285072', '链接字段(勿删)': '电商事业群;内贸行业部;澔川业务', '剩余分配百分比': '0', '总任务（金额）': '71441100.64', '截止当前目标阈值': '38369589.041096', '本月当前目标阈值': '4550000', '本月总目标（万）': '1178.38', '当前月份任务达成率': '0.167999139338', '本月开单金额（万）': '100.017028', '本月当前目标阈值 (万)': '455', '截止当前目标阈值达成率': '0.66726677837', '截止当前目标阈值（万）': '3836.958904', '年度阈值/开单差额（万）': '-1276.683697', '月度阈值/开单差额（万）': '-354.982971', '总金额转换（以万为单位）': '14143.22', '总额的待分配任务（金额）': '89802548.29', '年度开单金额转换（以万为单位）': '2560.275206'}",2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776
15,recvn6o3WgDpxJ,"{'2601': '671560.89', '2602': '982720.83', '2603': '864877.65', '2604': '897122.59', '公式': '0.00000025', '状态': '待确认', '编号': '15', '事业群': '电商事业群', '创建人': '谢南珩', '当前年': '2026', '当前月': '6', '父记录': [{'type': 'text', 'table_id': 'tblvCpQgeZoNVbui', 'text_arr': []}], '行业部': '海外行业部', '层级级别': '客户经理', '父级引用': '4', '经营主体': '星澜集团', '1季度比例': '25%', '2季度比例': '25%', '3季度比例': '25%', '4季度比例': '25%', '任务承接人': '陆南珩', '任务维护人': '谢南珩', '业务承接角色': '其他', '年度开单金额': '-1207.014462', '总任务达成率': '-0.000308066205', '本月开单金额': '0', '链接字段(勿删)': '电商事业群;海外行业部;其他', '剩余分配百分比': '0', '总任务（金额）': '3918035.94', '截止当前目标阈值': '1705315.068493', '本月当前目标阈值': '202222.222222', '本月总目标（万）': '41.608562', '当前月份任务达成率': '0', '本月开单金额（万）': '0', '本月当前目标阈值 (万)': '20.222222', '截止当前目标阈值达成率': '-0.000707795576', '截止当前目标阈值（万）': '170.531507', '年度阈值/开单差额（万）': '-170.652208', '月度阈值/开单差额（万）': '-20.222222', '总金额转换（以万为单位）': '498.75', '总额的待分配任务（金额）': '2941656.9', '年度开单金额转换（以万为单位）': '-0.120701'}",2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776
9,recvn6o3Wgg1yr,"{'2601': '64301655.6', '2602': '65958299.68', '2603': '60062412.41', '2604': '50086049.65', '公式': '0.00000000444247001332741', '状态': '待确认', '编号': '9', '事业群': '电商事业群', '创建人': '谢南珩', '当前年': '2026', '当前月': '6', '父记录': [{'type': 'text', 'table_id': 'tblvCpQgeZoNVbui', 'text_arr': []}], '行业部': '直营行业部', '层级级别': '客户经理', '父级引用': '4', '经营主体': '星澜集团', '1季度比例': '25%', '2季度比例': '25%', '3季度比例': '25%', '4季度比例': '25%', '任务承接人': '陆南珩', '任务维护人': '谢南珩', '业务承接角色': '云集直营', '年度开单金额': '67077822.45154', '总任务达成率': '0.453600409899', '本月开单金额': '0', '链接字段(勿删)': '电商事业群;直营行业部;云集直营', '剩余分配百分比': '0', '总任务（金额）': '147878663.66', '截止当前目标阈值': '95966605.479452', '本月当前目标阈值': '11380055.555556', '本月总目标（万）': '2928.051236', '当前月份任务达成率': '0', '本月开单金额（万）': '0', '本月当前目标阈值 (万)': '1138.005556', '截止当前目标阈值达成率': '0.698970460781', '截止当前目标阈值（万）': '9596.660548', '年度阈值/开单差额（万）': '-2888.878303', '月度阈值/开单差额（万）': '-1138.005556', '总金额转换（以万为单位）': '35137.27', '总额的待分配任务（金额）': '250308017.96', '年度开单金额转换（以万为单位）': '6707.782245'}",2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776
12,recvn6o3WgHkrm,"{'2601': '14144335.66', '2602': '18800010.32', '2603': '12210921.45', '2604': '20412484.82', '公式': '0.0000000120481927710843', '状态': '待确认', '编号': '12', '事业群': '电商事业群', '创建人': '谢南珩', '当前年': '2026', '当前月': '6', '父记录': [{'type': 'text', 'table_id': 'tblvCpQgeZoNVbui', 'text_arr': []}], '行业部': '直营行业部', '层级级别': '客户经理', '父级引用': '3', '经营主体': '星澜集团', '1季度比例': '25%', '2季度比例': '25%', '3季度比例': '25%', '4季度比例': '25%', '任务承接人': '陆屿青', '任务维护人': '谢南珩', '业务承接角色': '星播', '年度开单金额': '5370010.218649', '总任务达成率': '0.091336338534', '本月开单金额': '644895.958738', '链接字段(勿删)': '电商事业群;直营行业部;星播', '剩余分配百分比': '0', '总任务（金额）': '58793797.79', '截止当前目标阈值': '35385287.671233', '本月当前目标阈值': '4196111.111111', '本月总目标（万）': '798.581598', '当前月份任务达成率': '0.131625303956', '本月开单金额（万）': '64.489596', '本月当前目标阈值 (万)': '419.611111', '截止当前目标阈值达成率': '0.151758275036', '截止当前目标阈值（万）': '3538.528767', '年度阈值/开单差额（万）': '-3001.527745', '月度阈值/开单差额（万）': '-355.121515', '总金额转换（以万为单位）': '9582.65', '总额的待分配任务（金额）': '85061623.01', '年度开单金额转换（以万为单位）': '537.001022'}",2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776
4,recvmCDaJemp2D,"{'2601': '3777807.67', '2602': '2979335.45', '2603': '3005622.62', '2604': '2511729.22', '公式': '0.0000000666666666666666', '状态': '已审批', '编号': '4', '事业群': '电商事业群', '创建人': '谢南珩', '当前年': '2026', '当前月': '6', '父记录': [{'type': 'text', 'table_id': 'tblvCpQgeZoNVbui', 'text_arr': []}], '行业部': '海外行业部', '层级级别': '行业部', '父级引用': '11', '经营主体': '星澜集团', '1季度比例': '25%', '2季度比例': '25%', '3季度比例': '25%', '4季度比例': '25%', '任务承接人': '陆南珩', '任务维护人': '谢南珩', '年度开单金额': '514011.491517', '总任务达成率': '0.041906109092', '本月开单金额': '0', '链接字段(勿删)': '电商事业群;海外行业部;', '剩余分配百分比': '0', '总任务（金额）': '12265788.99', '截止当前目标阈值': '6394931.506849', '本月当前目标阈值': '758333.333333', '本月总目标（万）': '149.497054', '当前月份任务达成率': '0', '本月开单金额（万）': '0', '本月当前目标阈值 (万)': '75.833333', '截止当前目标阈值达成率': '0.080377951033', '截止当前目标阈值（万）': '639.493151', '年度阈值/开单差额（万）': '-588.092002', '月度阈值/开单差额（万）': '-75.833333', '总金额转换（以万为单位）': '1792.84', '总额的待分配任务（金额）': '14149219.63', '年度开单金额转换（以万为单位）': '51.401148'}",2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776
7,recvn6o3WgHBY1,"{'2601': '13779664.99', '2602': '16180610.81', '2603': '7284565.47', '2604': '8219729.7', '公式': '0.00000002', '状态': '待确认', '编号': '7', '事业群': '电商事业群', '创建人': '谢南珩', '当前年': '2026', '当前月': '6', '父记录': [{'type': 'text', 'table_id': 'tblvCpQgeZoNVbui', 'text_arr': []}], '行业部': '内贸行业部', '层级级别': '客户经理', '父级引用': '2', '经营主体': '星澜集团', '1季度比例': '25%', '2季度比例': '25%', '3季度比例': '25%', '4季度比例': '25%', '任务承接人': '薛南珩', '任务维护人': '谢南珩', '业务承接角色': '霁台业务', '年度开单金额': '-1759744.226376', '总任务达成率': '-0.036112911983', '本月开单金额': '342012.16', '链接字段(勿删)': '电商事业群;内贸行业部;霁台业务', '剩余分配百分比': '0', '总任务（金额）': '48728948.45', '截止当前目标阈值': '21316438.356164', '本月当前目标阈值': '2527777.777778', '本月总目标（万）': '553.735159', '当前月份任务达成率': '0.084223978775', '本月开单金额（万）': '34.201164', '本月当前目标阈值 (万)': '252.777778', '截止当前目标阈值达成率': '-0.082553388937', '截止当前目标阈值（万）': '2131.643836', '年度阈值/开单差额（万）': '-2307.618258', '月度阈值/开单差额（万）': '-218.576562', '总金额转换（以万为单位）': '6644.68', '总额的待分配任务（金额）': '46113045.16', '年度开单金额转换（以万为单位）': '-175.974423'}",2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776
8,recvn6o3WgIphb,"{'2601': '8264814.74', '2602': '18145723.96', '2603': '12699134.63', '2604': '8459282.65', '公式': '0.0000000166666666666666', '状态': '待确认', '编号': '8', '事业群': '电商事业群', '创建人': '谢南珩', '当前年': '2026', '当前月': '6', '父记录': [{'type': 'text', 'table_id': 'tblvCpQgeZoNVbui', 'text_arr': []}], '行业部': '内贸行业部', '层级级别': '客户经理', '父级引用': '2', '经营主体': '星澜集团', '1季度比例': '25%', '2季度比例': '25%', '3季度比例': '25%', '4季度比例': '25%', '任务承接人': '陆南珩', '任务维护人': '谢南珩', '业务承接角色': '云芯部件', '年度开单金额': '29257188.4182', '总任务达成率': '0.632063778148', '本月开单金额': '3485424.637438', '链接字段(勿删)': '电商事业群;内贸行业部;云芯部件', '剩余分配百分比': '0', '总任务（金额）': '46288348.47', '截止当前目标阈值': '25579726.027397', '本月当前目标阈值': '3033333.333333', '本月总目标（万）': '579.88', '当前月份任务达成率': '0.903577185874', '本月开单金额（万）': '348.542464', '本月当前目标阈值 (万)': '303.333333', '截止当前目标阈值达成率': '1.143764729414', '截止当前目标阈值（万）': '2557.972603', '年度阈值/开单差额（万）': '367.746239', '月度阈值/开单差额（万）': '45.20913', '总金额转换（以万为单位）': '6951.91', '总额的待分配任务（金额）': '68129057.36', '年度开单金额转换（以万为单位）': '2925.718842'}",2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776,2026-08-21 17:02:37.471776
