id,record_id,fields,sync_time,created_time,updated_time
40,recvnhVFNDxU4T,"{'年份': '2269.12', '月份': '1.12', 'line_type': '区域线', 'node_name': '邵屿青', 'node_level': '客户经理', 'parent_node': '潮汀片区', 'segment_name': '食饮部', '任务金额': '5724.416375', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
41,recvnhVFNDd27B,"{'年份': '2269.12', '月份': '1.12', 'line_type': '区域线', 'node_name': '岳屿青', 'node_level': '客户经理', 'parent_node': '潮汀片区', 'segment_name': '总额(未拆分)', '任务金额': '336679.84', '开单金额': '300928.32', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
1596,recvnhVFNDhRZQ,"{'年份': '2269.12', '月份': '4.48', 'line_type': '区域线', 'node_name': '苏既白', 'node_level': '客户经理', 'parent_node': '越溪片区', 'segment_name': '楼宇办公', '任务金额': '318501.12', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
2057,recvnhVFNDme4J,"{'年份': '2269.12', '月份': '5.6', 'line_type': '区域线', 'node_name': '苏既白', 'node_level': '客户经理', 'parent_node': '越溪片区', 'segment_name': '食饮部', '任务金额': '0', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
42,recvnhVFNDq0Zj,"{'年份': '2269.12', '月份': '1.12', 'line_type': '区域线', 'node_name': '岳屿青', 'node_level': '客户经理', 'parent_node': '潮汀片区', 'segment_name': '工业健康', '任务金额': '0', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
43,recvnhVFNDagc6,"{'年份': '2269.12', '月份': '1.12', 'line_type': '区域线', 'node_name': '岳屿青', 'node_level': '客户经理', 'parent_node': '潮汀片区', 'segment_name': '楼宇办公', '任务金额': '280539.84', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
44,recvnhVFNDlsCb,"{'年份': '2269.12', '月份': '1.12', 'line_type': '区域线', 'node_name': '岳屿青', 'node_level': '客户经理', 'parent_node': '潮汀片区', 'segment_name': '食饮部', '任务金额': '3363.36', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
45,recvnhVFNDXROf,"{'年份': '2269.12', '月份': '1.12', 'line_type': '区域线', 'node_name': '傅屿青', 'node_level': '客户经理', 'parent_node': '潮汀片区', 'segment_name': '工业健康', '任务金额': '0', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
46,recvnhVFNDgtSf,"{'年份': '2269.12', '月份': '1.12', 'line_type': '区域线', 'node_name': '傅屿青', 'node_level': '客户经理', 'parent_node': '潮汀片区', 'segment_name': '楼宇办公', '任务金额': '270965.499676', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
47,recvnhVFNDdZzW,"{'年份': '2269.12', '月份': '1.12', 'line_type': '区域线', 'node_name': '傅屿青', 'node_level': '客户经理', 'parent_node': '潮汀片区', 'segment_name': '食饮部', '任务金额': '0', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
48,recvnhVFNDPAZj,"{'年份': '2269.12', '月份': '1.12', 'line_type': '区域线', 'node_name': '傅屿青', 'node_level': '客户经理', 'parent_node': '潮汀片区', 'segment_name': '总额(未拆分)', '任务金额': '233753.629482', '开单金额': '8789.76', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
49,recvnhVFNDaMNB,"{'年份': '2269.12', '月份': '1.12', 'line_type': '区域线', 'node_name': '桂屿片区', 'node_level': '片区', 'parent_node': '岚屿战区', 'segment_name': '楼宇办公', '任务金额': '1699967.36', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
50,recvnhVFNDwdZX,"{'年份': '2269.12', '月份': '1.12', 'line_type': '区域线', 'node_name': '桂屿片区', 'node_level': '片区', 'parent_node': '岚屿战区', 'segment_name': '工业健康', '任务金额': '229893.44', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
