id,record_id,fields,sync_time,created_time,updated_time
1,recvnhVDnvDtjF,"{'年份': '2026', '月份': '1', 'line_type': '区域线', 'node_name': '顾思成', 'node_level': '客户经理', 'parent_node': '黑澜片区', 'segment_name': '工业健康', '任务金额': '0', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
2,recvnhVDnvFkXn,"{'年份': '2026', '月份': '1', 'line_type': '区域线', 'node_name': '顾思成', 'node_level': '客户经理', 'parent_node': '黑澜片区', 'segment_name': '总额(未拆分)', '任务金额': '174476.776531', '开单金额': '43279', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
3,recvnhVDnvDFSr,"{'年份': '2026', '月份': '1', 'line_type': '区域线', 'node_name': '顾思成', 'node_level': '客户经理', 'parent_node': '黑澜片区', 'segment_name': '食饮部', '任务金额': '0', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
4,recvnhVDnv5g2v,"{'年份': '2026', '月份': '1', 'line_type': '区域线', 'node_name': '顾思成', 'node_level': '客户经理', 'parent_node': '黑澜片区', 'segment_name': '楼宇办公', '任务金额': '165882.872928', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
5,recvnhVDnv1d3C,"{'年份': '2026', '月份': '1', 'line_type': '区域线', 'node_name': '吉林片区', 'node_level': '片区', 'parent_node': '凛澜战区', 'segment_name': '楼宇办公', '任务金额': '146590', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
6,recvnhVFNDoflL,"{'年份': '2026', '月份': '1', 'line_type': '区域线', 'node_name': '吉林片区', 'node_level': '片区', 'parent_node': '凛澜战区', 'segment_name': '总额(未拆分)', '任务金额': '204742', '开单金额': '85724', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
7,recvnhVFNDQocX,"{'年份': '2026', '月份': '1', 'line_type': '区域线', 'node_name': '吉林片区', 'node_level': '片区', 'parent_node': '凛澜战区', 'segment_name': '食饮部', '任务金额': '0', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
8,recvnhVFNDrTvK,"{'年份': '2026', '月份': '1', 'line_type': '区域线', 'node_name': '吉林片区', 'node_level': '片区', 'parent_node': '凛澜战区', 'segment_name': '工业健康', '任务金额': '0', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
9,recvnhVFNDrAi3,"{'年份': '2026', '月份': '1', 'line_type': '区域线', 'node_name': '袁星野', 'node_level': '客户经理', 'parent_node': '吉林片区', 'segment_name': '楼宇办公', '任务金额': '146589.93394', '开单金额': '0', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
10,recvnhVFNDhqCo,"{'年份': '2026', '月份': '1', 'line_type': '区域线', 'node_name': '袁星野', 'node_level': '客户经理', 'parent_node': '吉林片区', 'segment_name': '总额(未拆分)', '任务金额': '204742.118783', '开单金额': '85724', '去年同期开单': '0'}",2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136,2026-08-21 17:05:29.368136
